Date,ADA-USD,ATOM-USD,AVAX-USD,AXS-USD,BTC-USD,ETH-USD,LINK-USD,LUNA1-USD,MATIC-USD,SOL-USD
2017-05-09,,,,,1723.8900146484375,,,,,
2017-05-10,,,,,1756.52001953125,,,,,
2017-05-11,,,,,1780.3699951171875,,,,,
2017-05-12,,,,,1845.760009765625,,,,,
2017-05-13,,,,,1723.1199951171875,,,,,
2017-05-14,,,,,1800.8599853515625,,,,,
2017-05-15,,,,,1808.43994140625,,,,,
2017-05-16,,,,,1741.699951171875,,,,,
2017-05-17,,,,,1726.72998046875,,,,,
2017-05-18,,,,,1818.699951171875,,,,,
2017-05-19,,,,,1897.3699951171875,,,,,
2017-05-20,,,,,1984.239990234375,,,,,
2017-05-21,,,,,2067.030029296875,,,,,
2017-05-22,,,,,2043.18994140625,,,,,
2017-05-23,,,,,2191.56005859375,,,,,
2017-05-24,,,,,2321.3701171875,,,,,
2017-05-25,,,,,2446.239990234375,,,,,
2017-05-26,,,,,2320.889892578125,,,,,
2017-05-27,,,,,2196.27001953125,,,,,
2017-05-28,,,,,2054.080078125,,,,,
2017-05-29,,,,,2159.429931640625,,,,,
2017-05-30,,,,,2255.360107421875,,,,,
2017-05-31,,,,,2187.18994140625,,,,,
2017-06-01,,,,,2288.330078125,,,,,
2017-06-02,,,,,2404.030029296875,,,,,
2017-06-03,,,,,2493.719970703125,,,,,
2017-06-04,,,,,2547.7900390625,,,,,
2017-06-05,,,,,2512.39990234375,,,,,
2017-06-06,,,,,2690.840087890625,,,,,
2017-06-07,,,,,2869.3798828125,,,,,
2017-06-08,,,,,2720.489990234375,,,,,
2017-06-09,,,,,2807.43994140625,,,,,
2017-06-10,,,,,2828.139892578125,,,,,
2017-06-11,,,,,2942.409912109375,,,,,
2017-06-12,,,,,2953.219970703125,,,,,
2017-06-13,,,,,2680.909912109375,,,,,
2017-06-14,,,,,2716.8798828125,,,,,
2017-06-15,,,,,2499.580078125,,,,,
2017-06-16,,,,,2469.570068359375,,,,,
2017-06-17,,,,,2514.010009765625,,,,,
2017-06-18,,,,,2655.35009765625,,,,,
2017-06-19,,,,,2549.030029296875,,,,,
2017-06-20,,,,,2591.260009765625,,,,,
2017-06-21,,,,,2709.429931640625,,,,,
2017-06-22,,,,,2691.030029296875,,,,,
2017-06-23,,,,,2707.340087890625,,,,,
2017-06-24,,,,,2738.52001953125,,,,,
